customer_id,frequency,recency,T,monetary_value,prob_alive,predicted_purchases_12w,expected_avg_profit,clv_12m,clv_segment
12346,6.0,57.0,103.0,12907.160000000002,0.7404069210825929,0.5241494481542726,12928.371605331558,180365.07188269027,Champions
12347,7.0,58.0,58.0,615.7142857142857,0.9909021577224724,1.3332312632159675,618.1887640774429,21553.89163232136,Champions
12348,4.0,51.0,62.0,359.31,0.9669116264140886,0.7512127789138111,363.07069096176065,7139.215176309899,High Value
12349,2.0,82.0,84.0,1305.085,0.9691515694717706,0.3328383007747737,1316.8657879382533,11561.315298288599,Champions
12352,8.0,51.0,56.0,198.22375,0.9843029133377597,1.5408822551841304,199.92195029857646,8049.032873782437,High Value
12353,1.0,29.0,58.0,89.0,0.8759322337546948,0.2616918590403787,101.7084090593364,691.9388197215603,Low Value
12355,1.0,51.0,81.0,459.4,0.9018543280428224,0.2019551864840344,475.44644686474885,2523.809039893282,Medium Value
12356,5.0,57.0,60.0,962.658,0.9839587241337068,0.9528616635266136,966.7448948759012,24099.916854506562,Champions
12357,1.0,50.0,55.0,6207.67,0.9406764593795872,0.2938426867073886,6275.519747555134,47854.52152816232,Champions
12358,4.0,104.0,104.0,504.31000000000006,0.9845067879134872,0.4850478059217812,508.39518204657367,6560.218674365377,High Value
12359,9.0,97.0,105.0,901.4111111111112,0.9857659531004206,0.9922703100483032,903.6189628561481,23893.572676459695,Champions
12360,5.0,86.0,93.0,698.978,0.9813796842056765,0.6482064895703081,702.5930409109783,12080.273150241974,Champions
12361,3.0,56.0,97.0,119.01666666666668,0.8903213905623742,0.3680117001455349,123.31713573348787,1203.899927791252,Low Value
12362,8.0,42.0,42.0,537.89125,0.9920025654605482,1.9649152221536448,539.9690912828382,27470.858069169146,Champions
12363,1.0,19.0,34.0,252.9,0.8996519603153389,0.4127168268698391,267.08547276426924,2816.424833521953,Medium Value
12364,3.0,15.0,16.0,209.7266666666667,0.976718346457,1.6250901853994495,214.29800064949703,8748.950818823545,High Value
12369,2.0,32.0,91.0,601.415,0.7575138996845103,0.2422698742314212,610.0392807538309,3908.3210181622217,Medium Value
12370,4.0,88.0,95.0,888.4,0.9787056533655994,0.5232052250644432,893.3447253621998,12400.119520051738,Champions
12371,2.0,84.0,92.0,1429.85,0.9638994388540352,0.3052784375712944,1442.1904559912673,11646.652808569565,Champions
12372,2.0,32.0,42.0,416.41,0.9493468316797278,0.5853491523207598,424.20438945300236,6404.7880833264735,High Value
12373,2.0,52.0,96.0,284.875,0.886668495749322,0.2703032164558155,292.0793526850529,2091.287964320841,Medium Value
12374,2.0,81.0,84.0,640.34,0.9682562980760424,0.3325308353385377,649.1388896502649,5693.797087719293,High Value
12375,1.0,13.0,14.0,187.2,0.94418078987618,0.7827339913897805,200.7933856049398,3918.058347215437,Medium Value
