clv_12m,clv_segment,prob_alive,frequency,monetary_value
180365.07188269027,Champions,0.7404069210825929,6.0,12907.160000000002
21553.89163232136,Champions,0.9909021577224724,7.0,615.7142857142857
7139.215176309899,High Value,0.9669116264140886,4.0,359.31
11561.3152982886,Champions,0.9691515694717706,2.0,1305.085
8049.032873782437,High Value,0.9843029133377597,8.0,198.22375
691.9388197215603,Low Value,0.8759322337546948,1.0,89.0
2523.809039893282,Medium Value,0.9018543280428224,1.0,459.4
24099.91685450656,Champions,0.9839587241337068,5.0,962.658
47854.52152816232,Champions,0.9406764593795872,1.0,6207.67
6560.218674365377,High Value,0.9845067879134872,4.0,504.31000000000006
23893.57267645969,Champions,0.9857659531004206,9.0,901.4111111111112
12080.273150241974,Champions,0.9813796842056765,5.0,698.978
1203.899927791252,Low Value,0.8903213905623742,3.0,119.01666666666668
27470.858069169142,Champions,0.9920025654605482,8.0,537.89125
2816.424833521953,Medium Value,0.8996519603153389,1.0,252.9
8748.950818823545,High Value,0.976718346457,3.0,209.7266666666667
3908.3210181622217,Medium Value,0.7575138996845103,2.0,601.415
12400.119520051738,Champions,0.9787056533655994,4.0,888.4
11646.652808569565,Champions,0.9638994388540352,2.0,1429.85
6404.7880833264735,High Value,0.9493468316797278,2.0,416.41
2091.287964320841,Medium Value,0.886668495749322,2.0,284.875
5693.797087719293,High Value,0.9682562980760424,2.0,640.34
3918.058347215437,Medium Value,0.94418078987618,1.0,187.2
180.55889047916088,Low Value,0.5509793459580542,1.0,30.6
6981.354696904813,High Value,0.813794293094177,3.0,685.12
22332.35388974431,Champions,0.9254856041531956,1.0,4008.62
5065.503168697048,High Value,0.9668871001903976,3.0,382.58
19210.70096459337,Champions,0.9871987736902532,6.0,950.3333333333334
6571.241351228413,High Value,0.9708425426403496,2.0,223.035
5371.696040367303,High Value,0.8173231893822078,4.0,268.21
3911.1238418579433,Medium Value,0.9327341270818064,1.0,212.58
788.6020540097574,Low Value,0.5955286298382981,1.0,143.0
12746.501034144636,Champions,0.9892666565335312,7.0,491.3557142857143
4221.493588674287,Medium Value,0.7909633878321665,2.0,634.24
7130.846477476098,High Value,0.982264577599782,4.0,503.1125
10544.396540302774,High Value,0.9689461666602106,4.0,523.9125
8644.237029956894,High Value,0.9227132247074156,1.0,729.4000000000001
11072.45492062104,High Value,0.9923325146069027,13.0,246.5946153846154
18151.73847908667,Champions,0.9295921204918772,1.0,1105.09
5569.683464941082,High Value,0.9651846268422256,6.0,275.22
2508.920616064928,Medium Value,0.7558409755413504,5.0,192.04
2431.260904638288,Medium Value,0.9399985868767132,1.0,391.7000000000001
18594.726627858243,Champions,0.982375198615844,4.0,1377.29
9475.792301116118,High Value,0.9681820730898968,4.0,323.955
15932.60422921328,Champions,0.985266514109196,6.0,621.1116666666667
64026.24843230524,Champions,0.974232912816285,5.0,3323.362
2970.4375020400475,Medium Value,0.8307873675180955,1.0,533.33
7168.937071806246,High Value,0.9751798772904342,5.0,354.01
3863.8860241898938,Medium Value,0.9660268251594508,3.0,228.7
2020.6059133067256,Low Value,0.8751179884007363,3.0,147.47
542774.3448899556,Champions,0.9926356927741126,16.0,8856.664375
16384.333948953543,Champions,0.9965683296600132,19.0,301.0163157894737
6356.5635946135335,High Value,0.9621375872239276,3.0,559.0866666666667
697.9622983655404,Low Value,0.5509793459580542,1.0,152.1
3599.619547034692,Medium Value,0.9855832911738948,5.0,164.95999999999998
10449.409042493662,High Value,0.9760162262860343,11.0,324.0318181818181
9028.128661059643,High Value,0.992865501634745,9.0,226.51
13181.032800025503,Champions,0.9362906387356692,2.0,1446.745
5320.792494989077,High Value,0.9324961978569628,1.0,777.2
